epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,,2.234426259994507,,
0,99,,1.900715708732605,,
0,149,,1.4925577640533447,,
0,199,,0.8516482710838318,,
0,249,,0.586635410785675,,
0,299,,0.5820928812026978,,
0,349,,0.46984022855758667,,
0,399,,0.5070598125457764,,
0,449,,0.4520319104194641,,
0,499,,0.5725222826004028,,
0,549,,0.21153664588928223,,
0,599,,0.34463775157928467,,
0,649,,0.7274292707443237,,
0,699,,0.36752113699913025,,
0,749,,0.3296550214290619,,
0,799,,0.25518012046813965,,
0,849,,0.5068391561508179,,
0,858,,,0.8966000080108643,0.3550995886325836
0,858,0.7733738422393799,,,
1,899,,0.2961883842945099,,
1,949,,0.26119616627693176,,
1,999,,0.2664705812931061,,
1,1049,,0.14047199487686157,,
1,1099,,0.3422797620296478,,
1,1149,,0.23510396480560303,,
1,1199,,0.4472014009952545,,
1,1249,,0.1939028799533844,,
1,1299,,0.21894748508930206,,
1,1349,,0.4376988410949707,,
1,1399,,0.740513265132904,,
1,1449,,0.22732208669185638,,
1,1499,,0.4789366126060486,,
1,1549,,0.3946468234062195,,
1,1599,,0.22998006641864777,,
1,1649,,0.1895792931318283,,
1,1699,,0.2664089500904083,,
1,1717,,,0.9182000160217285,0.27935877442359924
1,1717,0.9131439328193665,,,
2,1749,,0.2639175355434418,,
2,1799,,0.1947665959596634,,
2,1849,,0.32152023911476135,,
2,1899,,0.3624872863292694,,
2,1949,,0.1425866037607193,,
2,1999,,0.11822307109832764,,
2,2049,,0.20437654852867126,,
2,2099,,0.36660298705101013,,
2,2149,,0.3120398223400116,,
2,2199,,0.11503731459379196,,
2,2249,,0.3101910948753357,,
2,2299,,0.2116447389125824,,
2,2349,,0.3899977505207062,,
2,2399,,0.19097861647605896,,
2,2449,,0.05746401846408844,,
2,2499,,0.11530528217554092,,
2,2549,,0.18583258986473083,,
2,2576,,,0.9318000078201294,0.23156733810901642
2,2576,0.9317338466644287,,,
3,2599,,0.2720802426338196,,
3,2649,,0.1600675731897354,,
3,2699,,0.27865439653396606,,
3,2749,,0.23463307321071625,,
3,2799,,0.0359313003718853,,
3,2849,,0.11414534598588943,,
3,2899,,0.35445407032966614,,
3,2949,,0.4294145405292511,,
3,2999,,0.19944903254508972,,
3,3049,,0.2545497715473175,,
3,3099,,0.08804621547460556,,
3,3149,,0.3197779059410095,,
3,3199,,0.104411780834198,,
3,3249,,0.11814942210912704,,
3,3299,,0.3624047338962555,,
3,3349,,0.18912898004055023,,
3,3399,,0.183623269200325,,
3,3435,,,0.9419999718666077,0.19246260821819305
