epoch,step,test_mse,train_loss,train_mse,val_loss,val_mse
0,49,,1.0186141729354858,,,
0,61,,,,0.6213691234588623,0.6213691234588623
0,61,,,0.7354606986045837,,
1,99,,0.6830097436904907,,,
1,123,,,,0.5320119261741638,0.5320119261741638
1,123,,,0.6087453365325928,,
2,149,,0.5392773747444153,,,
2,185,,,,0.4654732942581177,0.4654732942581177
2,185,,,0.5200821757316589,,
3,199,,0.2835874855518341,,,
3,247,,,,0.41358816623687744,0.41358816623687744
3,247,,,0.4534565508365631,,
4,249,,0.3883458971977234,,,
4,299,,0.20583221316337585,,,
4,309,,,,0.3720865249633789,0.3720865249633789
4,309,,,0.40468621253967285,,
5,349,,0.2598397731781006,,,
5,371,,,,0.33926597237586975,0.33926597237586975
5,371,,,0.3615082800388336,,
6,399,,0.18881192803382874,,,
6,433,,,,0.3136880397796631,0.3136880397796631
6,433,,,0.32301396131515503,,
7,449,,0.26524412631988525,,,
7,495,,,,0.29232344031333923,0.29232344031333923
7,495,,,0.3087158799171448,,
8,499,,0.4193447530269623,,,
8,549,,0.14028865098953247,,,
8,557,,,,0.2752264738082886,0.2752264738082886
8,557,,,0.291477769613266,,
9,599,,0.4460010826587677,,,
9,619,,,,0.26226258277893066,0.26226258277893066
9,619,,,0.27582377195358276,,
10,649,,0.22630105912685394,,,
10,681,,,,0.2519419193267822,0.2519419193267822
10,681,,,0.26573818922042847,,
11,699,,0.544642984867096,,,
11,743,,,,0.24383445084095,0.24383445084095
11,743,,,0.2585495114326477,,
12,749,,0.16521093249320984,,,
12,799,,0.4067170023918152,,,
12,805,,,,0.23729899525642395,0.23729899525642395
12,805,,,0.251920610666275,,
13,849,,0.08671361207962036,,,
13,867,,,,0.2321387231349945,0.2321387231349945
13,867,,,0.24593718349933624,,
14,899,,0.11761913448572159,,,
14,929,,,,0.22808000445365906,0.22808000445365906
14,929,,,0.2437867373228073,,
15,949,,0.11513853818178177,,,
15,991,,,,0.22444570064544678,0.22444570064544678
15,991,,,0.24135252833366394,,
16,999,,0.9766731858253479,,,
16,1049,,0.21840567886829376,,,
16,1053,,,,0.22136428952217102,0.22136428952217102
16,1053,,,0.23913255333900452,,
17,1099,,0.2635621428489685,,,
17,1115,,,,0.21872518956661224,0.21872518956661224
17,1115,,,0.23749132454395294,,
18,1149,,0.2790388762950897,,,
18,1177,,,,0.21663926541805267,0.21663926541805267
18,1177,,,0.2359372228384018,,
19,1199,,0.20961761474609375,,,
19,1239,,,,0.21469363570213318,0.21469363570213318
19,1239,,,0.23389503359794617,,
20,1249,,0.20388182997703552,,,
20,1299,,0.3301669657230377,,,
20,1301,,,,0.21296854317188263,0.21296854317188263
20,1301,,,0.23242565989494324,,
21,1349,,0.1494189202785492,,,
21,1363,,,,0.21135582029819489,0.21135582029819489
21,1363,,,0.232269287109375,,
22,1399,,0.31206992268562317,,,
22,1425,,,,0.20998959243297577,0.20998959243297577
22,1425,,,0.2299041599035263,,
23,1449,,0.11606543511152267,,,
23,1487,,,,0.2087719589471817,0.2087719589471817
23,1487,,,0.23061898350715637,,
24,1499,,0.15509265661239624,,,
24,1549,,0.08021614700555801,,,
24,1549,,,,0.2075837105512619,0.2075837105512619
24,1549,,,0.2295754998922348,,
25,1599,,0.45544904470443726,,,
25,1611,,,,0.20636151731014252,0.20636151731014252
25,1611,,,0.22755612432956696,,
26,1649,,0.2555188834667206,,,
26,1673,,,,0.20506341755390167,0.20506341755390167
26,1673,,,0.226564422249794,,
27,1699,,0.10771311819553375,,,
27,1735,,,,0.2040439397096634,0.2040439397096634
27,1735,,,0.22665518522262573,,
28,1749,,0.1697775274515152,,,
28,1797,,,,0.20317745208740234,0.20317745208740234
28,1797,,,0.22622397541999817,,
29,1799,,0.1722041219472885,,,
29,1849,,0.10214865207672119,,,
29,1859,,,,0.2023305892944336,0.2023305892944336
29,1859,,,0.22514234483242035,,
30,1860,,,,0.22408442199230194,0.22408442199230194
30,1860,,,,0.2023305892944336,0.2023305892944336
30,1860,0.23317258059978485,,,,
