epoch,step,test_mse,train_loss,train_mse,val_loss,val_mse
0,49,,0.20096266269683838,,,
0,61,,,,0.18547895550727844,0.18547895550727844
0,61,,,0.28128987550735474,,
1,99,,0.190921813249588,,,
1,123,,,,0.1901543140411377,0.1901543140411377
1,123,,,0.2398400753736496,,
2,149,,0.22120900452136993,,,
2,185,,,,0.23916946351528168,0.23916946351528168
2,185,,,0.21402007341384888,,
3,199,,0.14294487237930298,,,
3,247,,,,0.19851334393024445,0.19851334393024445
3,247,,,0.21179918944835663,,
4,249,,0.19814728200435638,,,
4,299,,0.11366733908653259,,,
4,309,,,,0.17634634673595428,0.17634634673595428
4,309,,,0.20165541768074036,,
5,349,,0.16056157648563385,,,
5,371,,,,0.17869460582733154,0.17869460582733154
5,371,,,0.1940927952528,,
6,399,,0.10083197802305222,,,
6,433,,,,0.16794776916503906,0.16794776916503906
6,433,,,0.18557782471179962,,
7,449,,0.08516279608011246,,,
7,495,,,,0.1652480959892273,0.1652480959892273
7,495,,,0.1865069717168808,,
8,499,,0.5765498876571655,,,
8,549,,0.1455565094947815,,,
8,557,,,,0.1567034274339676,0.1567034274339676
8,557,,,0.18351544439792633,,
9,599,,0.20708538591861725,,,
9,619,,,,0.15767107903957367,0.15767107903957367
9,619,,,0.1775999665260315,,
10,649,,0.26451799273490906,,,
10,681,,,,0.1643724888563156,0.1643724888563156
10,681,,,0.1809472292661667,,
11,699,,0.2547720968723297,,,
11,743,,,,0.1830029934644699,0.1830029934644699
11,743,,,0.17766936123371124,,
12,749,,0.31133726239204407,,,
12,799,,0.18649017810821533,,,
12,805,,,,0.15816111862659454,0.15816111862659454
12,805,,,0.17093493044376373,,
13,849,,0.07249912619590759,,,
13,867,,,,0.15306106209754944,0.15306106209754944
13,867,,,0.1563253104686737,,
14,899,,0.1545102596282959,,,
14,929,,,,0.16149021685123444,0.16149021685123444
14,929,,,0.16563500463962555,,
15,949,,0.09610727429389954,,,
15,991,,,,0.1491813361644745,0.1491813361644745
15,991,,,0.15814295411109924,,
16,999,,0.23379814624786377,,,
16,1049,,0.19904091954231262,,,
16,1053,,,,0.15020836889743805,0.15020836889743805
16,1053,,,0.16416797041893005,,
17,1099,,0.13500796258449554,,,
17,1115,,,,0.14531534910202026,0.14531534910202026
17,1115,,,0.16881337761878967,,
18,1149,,0.24568137526512146,,,
18,1177,,,,0.16157421469688416,0.16157421469688416
18,1177,,,0.17366932332515717,,
19,1199,,0.15968218445777893,,,
19,1239,,,,0.153180792927742,0.153180792927742
19,1239,,,0.16536860167980194,,
20,1249,,0.20666953921318054,,,
20,1299,,0.24875439703464508,,,
20,1301,,,,0.15127378702163696,0.15127378702163696
20,1301,,,0.16134673357009888,,
21,1349,,0.09681767225265503,,,
21,1363,,,,0.14624327421188354,0.14624327421188354
21,1363,,,0.1621609479188919,,
22,1399,,0.27090319991111755,,,
22,1425,,,,0.15201684832572937,0.15201684832572937
22,1425,,,0.17817573249340057,,
23,1449,,0.09872246533632278,,,
23,1487,,,,0.16728414595127106,0.16728414595127106
23,1487,,,0.15797121822834015,,
24,1499,,0.16157539188861847,,,
24,1549,,0.10159176588058472,,,
24,1549,,,,0.16848358511924744,0.16848358511924744
24,1549,,,0.1627560704946518,,
25,1599,,0.2786010801792145,,,
25,1611,,,,0.15030553936958313,0.15030553936958313
25,1611,,,0.15599402785301208,,
26,1649,,0.32953816652297974,,,
26,1673,,,,0.1508256047964096,0.1508256047964096
26,1673,,,0.1514378786087036,,
27,1699,,0.23116923868656158,,,
27,1735,,,,0.17586933076381683,0.17586933076381683
27,1735,,,0.15662381052970886,,
28,1749,,0.11371804773807526,,,
28,1797,,,,0.15058396756649017,0.15058396756649017
28,1797,,,0.15484480559825897,,
29,1799,,0.10576292127370834,,,
29,1849,,0.10783319920301437,,,
29,1859,,,,0.16207876801490784,0.16207876801490784
29,1859,,,0.16493338346481323,,
30,1860,,,,0.14933939278125763,0.14933939278125763
30,1860,,,,0.16207876801490784,0.16207876801490784
30,1860,0.162761852145195,,,,
