epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,,0.7123866677284241,,
0,99,,0.5019651055335999,,
0,149,,0.43548059463500977,,
0,199,,0.5512173771858215,,
0,249,,0.6881527900695801,,
0,299,,0.5495551824569702,,
0,349,,0.5980685949325562,,
0,399,,0.5691787004470825,,
0,449,,0.4281861484050751,,
0,449,,,0.7606250047683716,0.5101423263549805
0,449,0.7230555415153503,,,
1,499,,0.45421507954597473,,
1,549,,0.6306772828102112,,
1,599,,0.4461931884288788,,
1,649,,0.2838228642940521,,
1,699,,0.32981082797050476,,
1,749,,0.5301698446273804,,
1,799,,0.4806119203567505,,
1,849,,0.6349887251853943,,
1,899,,0.588372528553009,,
1,899,,,0.7931249737739563,0.45419207215309143
1,899,0.7745139002799988,,,
2,949,,0.4952097237110138,,
2,999,,0.3609231412410736,,
2,1049,,0.6187037229537964,,
2,1099,,0.5309245586395264,,
2,1149,,0.448547899723053,,
2,1199,,0.5246983170509338,,
2,1249,,0.4136788845062256,,
2,1299,,0.26016002893447876,,
2,1349,,0.4281572103500366,,
2,1349,,,0.7906249761581421,0.44725045561790466
2,1349,0.804930567741394,,,
3,1399,,0.31580379605293274,,
3,1449,,0.3435305953025818,,
3,1499,,0.3443317711353302,,
3,1549,,0.42355862259864807,,
3,1599,,0.538595974445343,,
3,1649,,0.2629227042198181,,
3,1699,,0.28999197483062744,,
3,1749,,0.33323514461517334,,
3,1799,,0.2364303469657898,,
3,1799,,,0.8168749809265137,0.44031888246536255
3,1799,0.8201388716697693,,,
4,1849,,0.5368262529373169,,
4,1899,,0.2605862617492676,,
4,1949,,0.6381574273109436,,
4,1999,,0.3285701870918274,,
4,2049,,0.30327603220939636,,
4,2099,,0.4643981456756592,,
4,2149,,0.39146888256073,,
4,2199,,0.2734162509441376,,
4,2249,,0.506069540977478,,
4,2249,,,0.8149999976158142,0.4430136978626251
4,2249,0.8301388621330261,,,
5,2299,,0.15007859468460083,,
5,2349,,0.37366268038749695,,
5,2399,,0.3344819247722626,,
5,2449,,0.49572134017944336,,
5,2499,,0.3821960389614105,,
5,2549,,0.6023731231689453,,
5,2599,,0.302043616771698,,
5,2649,,0.4619094729423523,,
5,2699,,0.3114780783653259,,
5,2699,,,0.840624988079071,0.3950614929199219
